R:  10.100.100.102/UDP/35951,  RMarc, 5
E:  10.100.100.102/UDP/35951,  C0, 2
R:  10.100.100.102/UDP/36581,  RMarc, 5
E:  10.100.100.102/UDP/36581,  C0, 2
R:  10.100.100.102/UDP/36581,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.102/UDP/36581,  S10#0#0, 7
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.101/UDP/6000,  Marc, 4
R:  10.100.100.102/UDP/38322,  RMarc, 5
E:  10.100.100.102/UDP/38322,  C0, 2
R:  10.100.100.102/UDP/38322,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/38322,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/38322,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/60898,  RMarc, 5
E:  10.100.100.102/UDP/60898,  C0, 2
R:  10.100.100.102/UDP/60898,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/60898,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/60898,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/60898,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/60898,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/60898,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/39376,  RMarc, 5
E:  10.100.100.102/UDP/39376,  C0, 2
R:  10.100.100.102/UDP/39376,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/39376,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/39376,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/39376,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/39376,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.102/UDP/39376,  LXavi@PC-a#Marc@PC-b, 20
E:  10.100.100.101/UDP/6000,  LXavi@PC-a#Marc@PC-b, 20
R:  10.100.100.101/UDP/44846,  RMarc, 5
E:  10.100.100.101/UDP/44846,  C0, 2
R:  10.100.100.102/UDP/6000,  LMarc@PC-a#Alba@PC-b, 20
E:  10.100.100.101/UDP/6000,  LMarc@PC-a#Alba@PC-b, 20
R:  10.100.100.101/UDP/6000,  LMarc@PC-a#Alba@PC-b, 20
E:  10.100.100.101/UDP/6000,  LMarc@PC-a#Alba@PC-b, 20
R:  10.100.100.101/UDP/6000,  LMarc@PC-a#Alba@PC-b, 20
